CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
437,1496,22424277206
404,1492,21759358163
416,1498,22335878009
408,1554,22431096865
395,1480,22094346831
403,1526,23001867808
382,1512,22750693749
400,1526,22635456281
397,1521,21970767642
417,1500,23246244594
426,1668,25196916238
445,1674,24411298416
442,1655,24973679779
443,1659,24258310578
429,1645,24541555643
425,1634,24959299537
440,1649,24112810888
421,1667,24302249174
442,1666,23746018339
438,1659,24640015330
473,1826,25873492732
463,1811,26793817667
478,1782,27480482624
474,1839,26985441604
487,1847,27598333832
478,1778,26164782334
485,1786,26661210841
469,1832,26860601193
481,1834,27021534498
475,1826,26544367241
509,1987,29329165701
541,2039,30303197546
523,1954,28139082542
508,1947,28811306535
525,1983,29109996061
543,1970,29238985603
496,1999,28916827968
522,1959,28846166369
520,1916,27464969962
514,1977,29095068907
553,2148,31224249953
550,2125,31108830366
559,2117,31832262991
545,2147,31447612089
569,2146,31288488167
572,2112,30744760770
581,2119,30922475460
565,2107,32183347492
574,2100,31361667081
577,2125,31787833411
608,2285,33767991625
597,2257,31374544629
615,2243,34028572565
631,2313,33161809959
610,2256,34304263469
623,2252,34695596339
615,2236,33885010727
616,2248,33940651682
567,2262,33915903967
588,2238,33330322277
636,2371,35868145380
635,2399,35632908170
647,2362,35852162789
652,2442,35264168256
638,2410,34922731793
621,2427,34670904578
625,2438,35519182518
637,2401,36035537094
647,2386,36525683798
633,2439,35016237672
687,2547,38012345451
687,2637,40007077365
693,2568,37562638021
670,2624,36998798561
677,2576,37514780348
704,2577,37027383615
691,2535,38039995913
671,2550,38469017227
706,2583,38543355535
669,2522,38164106548
730,2713,39268684389
761,2704,40718327370
739,2706,39732525911
697,2766,40863779602
750,2725,40019165777
717,2637,40033199065
715,2693,40013812972
721,2735,40092579011
708,2742,40027125789
748,2715,39713558909
771,2822,42650456940
764,2860,43480563155
749,2869,43019130013
760,2837,44028488309
760,2835,42790507649
717,2812,41979934107
783,2886,42569358372
737,2866,41338275444
763,2837,42489561303
785,2863,41926187001
792,3009,42839478526
845,3015,45030736045
795,2973,45750826188
809,3010,44840746945
764,3131,45575794231
812,2979,43949317087
809,3027,44655638957
811,3020,43279491809
798,3003,44542187111
798,2963,42808942863
