291464895446, 221747737629
296861315182, 21712690348
293597489832, 21277218449
296643746144, 20492246338
297688704429, 22414601340
293711464693, 21423791272
293364866092, 21065217365
297450152090, 20852612780
296888308988, 21467612763
297138332612, 21321695312
291750328455, 179302604268
295759980271, 104192949502
295340016490, 107443367164
297651620380, 103853782256
281424713976, 101980011101
301478741295, 105267482938
291778510283, 106393624663
292225113057, 105487726498
292711866073, 104009339604
293875499114, 105255197475
