//first 100,000 fib
0, 155155185336
0, 58662330994
0, 59725800193
0, 60100300865
0, 60522518340
0, 60015152494
0, 59073473797
0, 60017715443
0, 59534137106
0, 47279690502

//first 1,000 fib
323064195, 21775435
323327403, 20533587
323611664, 21524475
321029616, 21380768
319329414, 21530951
321575989, 21558339
318632164, 21160922
317350709, 24059869
320622205, 21608725
320836998, 21649433

//first 5,000 fib
20640745878, 1452773132
24635123881, 185493675
21764728890, 178667798
21433448741, 177998797
21250947401, 174586243
21063314633, 172099279
20920233681, 172883735
20966108350, 174484770
20945683043, 181346142
20843137302, 174149988
